全唐诗分卷目录

巴斯光年 整理


卷544-545  刘得仁
卷546  权审 刑群 曹汾 严恽 殷潜之 祝元膺 彭蟾 王枢 张希复 钱可复 张鹭 刘庄物
卷547  朱景玄 薛宜僚 郭圆 崔铉 元晦 路贯 郑薰
卷548  薛逢
卷549-550  赵嘏
卷551  卢肇
卷552  丁棱 高退之 孟球 刘耕 裴翻 樊骧 崔轩 蒯希逸 林滋 李宣古 黄颇 张道符 丘上卿 石贯 李潜 孟守 唐思言 戈牢 金厚载 王甚夷
卷553  姚鹄
卷554  项斯
卷555-556  马戴
卷557  易重 孟迟 王铎 郑畋 谭铢 卢嗣立 朱可名 张良器
卷558-561  薛能
卷562  刘威 李玖 潘唐
卷563  裴休 令狐绹 夏侯孜 魏謩 周墀 李景让 郑颢 刘绮庄 张固 刘皋 李质 南卓 李讷 崔元范 杨知至 李明远 萧缜 卢顺之 李善夷 卢溵 赵牧 裴𫍯
卷564  于兴宗 李朋 杨牢 李续 李汶儒 田章 薛蒙 李邺 于瓌 王严 刘睽 李渥 刘潞 卢栯 李体仁
卷565  韩琮 
卷566  王传 卢邺 陆肱 崔澹 莫宣卿 封彦卿 李节 韦蟾 卢渥 郭夔 柳珪
卷567  郑嵎 崔橹
卷568-570  李群玉
卷571-574  贾岛
卷575-583  温庭筠
卷584  段成式
卷585  刘驾
卷586  刘沧
卷587-589  李频
卷590  李郢
卷591  崔玨
卷592-593  曹邺
卷594  储嗣宗
卷595  于武陵
卷596  司马扎
卷597  徐商 高璩 高湘 崔安潜 裴铏 刘损 郑愚 霍总 陈琡 裴虔余 李嵘 袁郊 张丛 冯衮 郑綮 温庭皓
卷598  高骈
卷599  于𣸣
卷600  牛征 伊璠 萧遘 韦承贻 郑洪业 孙纬 欧阳玭 张演 裴澈 翁绶 潘纬 武瓘 袁皓 公乘亿 王秀文 卢骈 王镣 李拯 顾封人 司马都  
卷601  李昌符
卷602  汪遵
卷603-604  许棠
卷605  邵谒
卷606  林宽
卷607  刘邺 李骘 孙蜀 欧阳澥 陈黯 张孜 郑仁表 赵鸿 童翰卿
卷608-616  皮日休
卷617-630  陆龟蒙
卷631  张贲 崔潞 李縠 崔璞 魏朴 羊昭业 颜萱 郑璧
卷632-634  司空图
卷635  周繇
卷636  聂夷中
卷637  顾云
卷638-639  张乔
卷640-641  曹唐
卷642  来鹄
卷643  李山甫
卷644-646  李咸用
卷647  胡曾
卷648-653  方干
卷654  罗邺
卷655-665  罗隐
卷666  罗虬
卷667  郑损 张祎 卢携 李廷璧 许三畏 卢嗣业 牛峤 郑合 李抟 李克恭 程贺 卢尚卿 顾在镕 翁洮 李屿 郑启 韩仪 温宪 姚岩杰
卷668  高蟾
卷669  章碣
卷670  秦韬玉
卷671-672  唐彦谦
卷673  周朴
卷674-677  郑谷
卷678  许彬
卷679  崔涂
卷680-683  韩偓
卷684-687  吴融
卷688  孙偓 陆扆 薛昭纬 陆翱 狄归昌 裴廷裕 李沇 裴贽 卢汝弼
卷689  陆希声 李昭象
卷690  王驾 王涣 戴司颜 吴仁璧 汪极 张曙 林嵩
卷691-693  杜荀鹤
卷694  张道古 唐廪 王毂 孙郃 褚载 郑准 陈乘
卷695-700  韦庄
卷701  王贞白
卷702  张𧏖
卷703  翁承赞
卷704-706  黄滔
卷707  殷文圭
卷708-711  徐夤
卷712  钱珝
卷713  喻坦之
卷714  崔道融
卷715  卢延让 裴皞 王希羽 柯崇 刘象 沈颜 杨凝式 李琪 刘崇龟 刘崇鲁 孙定 许昼 薛准 裴谐
卷716-717  曹松
卷718  苏拯
卷719  路德延 李旭 崔庸 胡骈 周祚 卢频 刘畋
卷720  裴说
卷721-723  李洞
卷724  唐求
卷725  于邺
卷726  陆贞洞 刘谷 王祝 王涤 韦冰 李昌邺 王硕 李缟 张绮 高衢 贾驰 赵光远 郑良士 萧项
卷727  胡令能 严郾 蒋肱 张迥 张友正 伍唐珪 孙棨 颜荛 张为 马冉 周镛 刘赞 任翻 荆浩 张直 陈光
卷728-729  周昙
卷730  李九龄
卷731  胡宿 杜常 滕白 王喦
卷732  高力士 王越宾 王良会 骠信 赵叔达 杨奇鲲 布燮 朝衡 长屋 王巨臣 李赞华 成辅端 张隐 朱元 陈璠 捧剑仆
卷733  李密 孔德绍 郑颋 刘斌 刘辟 黄巢
卷734  罗绍威 （以下五代） 罗衮 王镕 邓洵美 李京 许鼎 王易简 朱褒 黄损 张衮 赵光逢
卷735  和凝
卷736  王仁裕
卷737  冯道 卢文纪 崔居俭 李涛 卢士衡 熊皦 熊皎 赵延寿 高辇 韩昭裔 张仁溥 李瀚 杨昭俭 刘坦 韦遵
卷738  宋齐丘 冯延巳 韩熙载 李征古 潘佑 李昉 马致恭 张义方
卷739  李建勋
卷740  孟宾于 廖匡图 廖凝 韦鼎 左偃
卷741  陈贶 刘洞 江为 高越
卷742  张泌
卷743  孙鲂 沈彬
卷744  伍乔
卷745-746  陈陶
卷747-750  李中
卷751-756  徐铉
卷757  徐锴 包颖 钟谟 查文徽 马彧 韩定辞 何昌龄 李羽 梁藻 陈沆 李询 韩垂 朱存 陈彦 许坚 王感化 李家明 汤悦 萧彧 孙岘 谢仲宣 钟蒨 乔舜 王沂 陈元裕
卷758  孟贯
卷759  成彦雄
卷760  周庠 张格 王锴 牛希济 冯涓 李浩弼 杨玢 韩昭 杨鼎夫 蒋贻恭 李珣 顾夐 张令问
卷761  徐光溥 欧阳炯 刘义度 刘羲叟 詹敦仁 詹琲 幸夤逊 丁元和 张立
卷762  刘昭禹 李宏皋 何仲举 徐仲雅 伍彬 杨徽之 王元 廖融 王正己 翁宏 张观 孙光宪 刘章 路洵美 梁震
卷763  杨夔 杜建徽 沈韬文 王继勋 刘乙 夏鸿 刘山甫 张昭 颜仁郁 王延彬
卷764  谭用之
卷765  王周
卷766  刘兼
卷767  孙元晏（以下无考）
卷768  严识玄 何象 张震 丘光庭 武翊黄 李祜 韩屿 李茂复 李曜 吴圆 陆弘休 安锜 油蔚 胡玢 卢注 胡幽贞 狄焕 韩溉 金昌绪 曾麻几
卷769  郑轨 刘戬 杨齐哲 刘夷道 杨希道 王𪟝 郭恭 张烜 张修之 梁献 符子珪 李何 郑𫓩 纥干著 李习 颜舒 朱绛 徐璧 徐安期 裴延 陈述 朱琳 谢陶 何赞 解彦融
卷770  董初 贺朝清 杨衡 唐暄 李韶 韦鹏翼 安鸿渐 李延陵 秦尚运 张仲谋 冯少吉 殷陶 罗炯 韩雄 苗仲方 陈嶰 张起 陈政 李建业 罗维 殷益 李得 王邵 曹修古 朱子真 严郭 张子明 李谨言 吴烛 张保嗣 潘图 潘佐 李逸 沈麟 安凤 李伦 卢子发 王梦周 孙咸 李澣 钱戭 韦道逊 王揆 王言史
卷771  宋雍 戴休珽 卢鉟 赵抟 张安石 蒋吉 周𣸣
卷772  赵起 王瓒 慕容韦 黄文 唐温如 欧阳宾 何敬 杨彝 裴瑶 郑玉 麻温其 韦镒 谢太虚 周岳秀 马逢
卷773  萧意 徐之才 张陵 蔡瓌 唐怡 潘求仁 阎德隐 刘元叔 常理 冯待征 冷朝光 卫万 李章 王沈 王偃 李暇 李播 辛弘智
卷774  吉师老 吴商浩 沈祖仙 邵士彦 吴大江 荆叔 萧静 元凛 徐振 张侹 方泽 景池 张鸿 姚揆 王训 张炽 虞羽客 郑渥
卷775  崔江 李伉 刘望 易思 赵防 刘廓 姚偓 戴衢 李建枢 谢邈 唐备 方棫 范夜 卢群玉 杨行敏 张怀 赵湘 杨持 李聪 徐介 李士元
卷776  冯道之 徐谦 杨达 杨逵 魏兼恕 贾彦璋 欧阳瑾 李叔卿 熊曜 李宾 唐尧臣 郑缙 吴英秀 陈凝 伊梦昌 郑严 柳曾 牛殳 卫光一 林璠 颜胄
卷777  邢象玉 张敬徽 徐玄之 郭汭 权彻 豆卢回 张南容 沈徽 林琨 吴象之 郑德玄 张轸 蔡文恭 贾宗 唐尧客 朱晦 石召 林珝 卫叶
卷778  李季华 王玄 李归唐 朱光弼 顾甄远 魏峦 柳明献 蔡昆 令狐挺 滕潜 夏侯子云 方愚 潘雍 梁陟 朱延 寇埴 冯渚
卷779  王约 郭求 郑师贞 石殷士 柴宿 陶拱 刘𤥟 朱华 戴察 孙顾 孙𬱟 陈璀 裴杞 陈祜 吴秘 张复元 穆寂 王景中 邓倚 汤洙 殷琮 朱延龄
卷780  郑蕡 裴元 杜周士 乐伸 徐至 纥干讽 朱休 李沛 成崿 夏侯楚 胡权 郭邕 张钦敬 叔孙玄观 王季友 南巨川 丁居晦 辛宏 康翊仁 陈中师 管雄甫 邓陟 吕价 苑䛆 罗泰 崔藩 李勋
卷781  赵铎 徐元鼎 严巨川 吕炅 刘公兴 王卓 石倚 叶元良 裴大章 崔宗 郑馥 吴叔达 孟翱 郑昉 袁求贤 孟匡明 李子昂
卷782  员南溟 李胄 郑述诚 宋迪 万俟造 钱众仲 吕敞 郑衮 张公乂 张何 濮阳瓘 王若岩 张随 徐仁嗣 卢征 顾伟 沈鹏 薛少殷 张元正
卷783  辛学士 卢尚书 郑仆射 郑中丞 韩常侍 梁补阙 卢尚书 苏广文 任生 任生 吴公 曹生 缪氏子 京兆韦氏子
卷784  景龙文馆学士 神龙从臣 天宝时人 僖宗韩北省官 洪州将军 贞元文士 河北士人 元和举子 懿宗朝举子 白衫举子 唐末朝士 西鄙人 太上隐者 黄山隐 婺州山中人 同谷子 崔公佐客 洛中举子 江陵士子 织锦人 吏部选人 建业卜者 天峤游人 骊山游人 衡州舟子 华山老人 终南山翁 吴越失姓名人
卷785-787  无名氏
卷788  李白（以下联句） 高霁 韦权舆 杜甫 李之芳 崔彧 颜真卿 刘全白 裴循 张荐 吴筠 强蒙 范缙 王纯 魏理 王修甫 颜岘 左辅元 刘茂 颜浑 杨德元 韦介 皎然 崔弘 史仲宣 陆羽 权器 陆士修 裴幼清 柳淡 释尘外 颜颛 颜须 颜顼 李崿 潘述 杨凭 杨凝 耿𣲗 乔（失姓） 陆涓 伯成（失姓） 崔万 袁高 皇甫曾 殷佐明 蒋志 李益
卷789  皇甫曾 清昼 郑说 崔子向 严维 鲍防 谢良辅 杜奕 李清 刘蕃 谢良弼 郑概 陈元初 樊珣 丘丹 吕渭 范淹 吴筠 沈仲昌 迥（失姓） 成用 张叔政 贾弇 周颂 李益 广宣 杜羔 韦执中 诸葛觉 贾岛 法振 耿𣲗 王早 辛晃 陆羽 李景俭 吕温 吕恭 武元衡 崔备 裴度 柳公绰 卢放 卢士玫
卷790  裴度 刘禹锡 崔群 贾𫗧 张籍 行式（失姓） 白居易 李绅 李绛 庾承宣 杨嗣复 王起
